Source,Destination,Time(hrs),Cost(Rs)
INS Kursura Submarine Museum(Visakhapatnam),Kailasagiri(Visakhapatnam),0.39,130
INS Kursura Submarine Museum(Visakhapatnam),Rushikonda Beach(Visakhapatnam),0.58,70
INS Kursura Submarine Museum(Visakhapatnam),Yarada Beach(Visakhapatnam),0.38,85
INS Kursura Submarine Museum(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),0.49,220
INS Kursura Submarine Museum(Visakhapatnam),Dolphin's Nose(Visakhapatnam),0.39,55
INS Kursura Submarine Museum(Visakhapatnam),Indira Gandhi Zoological Park(Visakhapatnam),0.29,100
INS Kursura Submarine Museum(Visakhapatnam),Submarine Museum(Visakhapatnam),0.91,140
INS Kursura Submarine Museum(Visakhapatnam),Katiki Waterfalls(Visakhapatnam),0.38,55
Borra Caves(Visakhapatnam),Araku Valley(Visakhapatnam),0.48,50
Borra Caves(Visakhapatnam),Varaha Lakshmi Narasimha Temple(Visakhapatnam),0.1,150
Borra Caves(Visakhapatnam),Biodiversity Park(Visakhapatnam),1.4,220
Borra Caves(Visakhapatnam),Kailasagiri(Visakhapatnam),0.69,290
Borra Caves(Visakhapatnam),Rushikonda Beach(Visakhapatnam),0.3,150
Borra Caves(Visakhapatnam),Yarada Beach(Visakhapatnam),0.28,200
Borra Caves(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),0.25,210
Borra Caves(Visakhapatnam),Dolphin's Nose(Visakhapatnam),0.38,190
Borra Caves(Visakhapatnam),Indira Gandhi Zoological Park(Visakhapatnam),0.16,120
Borra Caves(Visakhapatnam),Submarine Museum(Visakhapatnam),0.35,100
Borra Caves(Visakhapatnam),Katiki Waterfalls(Visakhapatnam),0.2,200
Araku Valley(Visakhapatnam),Varaha Lakshmi Narasimha Temple(Visakhapatnam),0.13,102
Araku Valley(Visakhapatnam),Biodiversity Park(Visakhapatnam),0.18,300
Araku Valley(Visakhapatnam),Kailasagiri(Visakhapatnam),0.16,129
Araku Valley(Visakhapatnam),Rushikonda Beach(Visakhapatnam),0.8,389
Araku Valley(Visakhapatnam),Yarada Beach(Visakhapatnam),0.36,110
Araku Valley(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),0.46,289
Araku Valley(Visakhapatnam),Dolphin's Nose(Visakhapatnam),0.5,170
Araku Valley(Visakhapatnam),Indira Gandhi Zoological Park(Visakhapatnam),0.36,140
Araku Valley(Visakhapatnam),Submarine Museum(Visakhapatnam),0.3,110
Araku Valley(Visakhapatnam),Katiki Waterfalls(Visakhapatnam),0.25,80
Varaha Lakshmi Narasimha Temple(Visakhapatnam),Biodiversity Park(Visakhapatnam),0.08,170
Varaha Lakshmi Narasimha Temple(Visakhapatnam),Kailasagiri(Visakhapatnam),0.11,283
Varaha Lakshmi Narasimha Temple(Visakhapatnam),Rushikonda Beach(Visakhapatnam),0.16,331
Varaha Lakshmi Narasimha Temple(Visakhapatnam),Yarada Beach(Visakhapatnam),0.46,123
Varaha Lakshmi Narasimha Temple(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),0.5,149
Varaha Lakshmi Narasimha Temple(Visakhapatnam),Dolphin's Nose(Visakhapatnam),0.36,130
Varaha Lakshmi Narasimha Temple(Visakhapatnam),Indira Gandhi Zoological Park(Visakhapatnam),0.3,110
Varaha Lakshmi Narasimha Temple(Visakhapatnam),Submarine Museum(Visakhapatnam),0.23,130
Varaha Lakshmi Narasimha Temple(Visakhapatnam),Katiki Waterfalls(Visakhapatnam),0.36,150
Biodiversity Park(Visakhapatnam),Kailasagiri(Visakhapatnam),0.84,290
Biodiversity Park(Visakhapatnam),Rushikonda Beach(Visakhapatnam),0.25,150
Biodiversity Park(Visakhapatnam),Yarada Beach(Visakhapatnam),0.39,200
Biodiversity Park(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),0.28,210
Biodiversity Park(Visakhapatnam),Dolphin's Nose(Visakhapatnam),0.54,190
Biodiversity Park(Visakhapatnam),Indira Gandhi Zoological Park(Visakhapatnam),0.22,185
Biodiversity Park(Visakhapatnam),Submarine Museum(Visakhapatnam),0.48,100
Biodiversity Park(Visakhapatnam),Katiki Waterfalls(Visakhapatnam),0.55,50
Kailasagiri(Visakhapatnam),Rushikonda Beach(Visakhapatnam),0.59,120
Kailasagiri(Visakhapatnam),Yarada Beach(Visakhapatnam),0.95,70
Kailasagiri(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),1.34,100
Kailasagiri(Visakhapatnam),Dolphin's Nose(Visakhapatnam),0.82,103
Kailasagiri(Visakhapatnam),Indira Gandhi Zoological Park(Visakhapatnam),0.29,216
Kailasagiri(Visakhapatnam),Submarine Museum(Visakhapatnam),0.91,170
Kailasagiri(Visakhapatnam),Katiki Waterfalls(Visakhapatnam),0.38,130
Rushikonda Beach(Visakhapatnam),Yarada Beach(Visakhapatnam),0.48,170
Rushikonda Beach(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),0.1,190
Rushikonda Beach(Visakhapatnam),Dolphin's Nose(Visakhapatnam),1.4,189
Rushikonda Beach(Visakhapatnam),Indira Gandhi Zoological Park(Visakhapatnam),0.69,160
Rushikonda Beach(Visakhapatnam),Submarine Museum(Visakhapatnam),0.1,90
Rushikonda Beach(Visakhapatnam),Katiki Waterfalls(Visakhapatnam),0.35,91
Yarada Beach(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),0.2,126
Yarada Beach(Visakhapatnam),Dolphin's Nose(Visakhapatnam),0.15,150
Yarada Beach(Visakhapatnam),Indira Gandhi Zoological Park(Visakhapatnam),0.18,92
Yarada Beach(Visakhapatnam),Submarine Museum(Visakhapatnam),0.08,140
Yarada Beach(Visakhapatnam),Katiki Waterfalls(Visakhapatnam),0.66,120
Yarada Beach(Visakhapatnam),Dolphin's Nose(Visakhapatnam),0.11,135
Ramakrishna Beach(Visakhapatnam),Indira Gandhi Zoological Park(Visakhapatnam),0.26,295
Ramakrishna Beach(Visakhapatnam),Submarine Museum(Visakhapatnam),0.33,200
Ramakrishna Beach(Visakhapatnam),Katiki Waterfalls(Visakhapatnam),0.33,210
Dolphin's Nose(Visakhapatnam),Indira Gandhi Zoological Park(Visakhapatnam),0.11,313
Dolphin's Nose(Visakhapatnam),Submarine Museum(Visakhapatnam),0.1,282
Dolphin's Nose(Visakhapatnam),Katiki Waterfalls(Visakhapatnam),0.55,112
Indira Gandhi Zoological Park(Visakhapatnam),Submarine Museum(Visakhapatnam),0.59,282
Indira Gandhi Zoological Park(Visakhapatnam),Katiki Waterfalls(Visakhapatnam),0.95,293
Submarine Museum(Visakhapatnam),Katiki Waterfalls(Visakhapatnam),1.34,282
Bhubaneswar Railway Station(Bhubaneswar),Cuttack Junction Railway Station(Cuttack),0.55,145
Cuttack Junction Railway Station(Cuttack),Howrah Junction Railway Station(Kolkata),6.75,800
Howrah Junction Railway Station(Kolkata),Visakhapatnam Railway Station(Visakhapatnam),13,1240
